SOURCE,TARGET,RATING,TIME
6,2,4,08/11/2010
6,5,2,08/11/2010
1,15,1,08/11/2010
4,3,7,08/11/2010
13,16,8,08/11/2010
13,10,8,08/11/2010
7,5,1,10/11/2010
2,21,5,10/11/2010
2,20,5,10/11/2010
21,2,5,10/11/2010
21,1,8,11/11/2010
21,10,8,11/11/2010
21,8,9,11/11/2010
21,3,7,11/11/2010
17,3,5,11/11/2010
17,23,1,11/11/2010
10,1,8,12/11/2010
10,6,7,12/11/2010
10,21,8,12/11/2010
10,8,1,12/11/2010
10,25,10,12/11/2010
10,2,7,12/11/2010
10,3,7,12/11/2010
4,26,1,13/11/2010
26,4,1,13/11/2010
5,1,3,13/11/2010
5,6,3,13/11/2010
5,7,1,13/11/2010
1,5,4,14/11/2010
6,4,2,14/11/2010
4,6,5,14/11/2010
2,4,5,14/11/2010
17,28,1,15/11/2010
17,13,2,16/11/2010
13,17,2,16/11/2010
13,29,2,18/11/2010
29,13,2,18/11/2010
17,20,2,18/11/2010
4,31,1,19/11/2010
31,4,2,19/11/2010
32,6,1,21/11/2010
13,1,8,23/11/2010
7,34,1,25/11/2010
34,7,1,25/11/2010
32,1,1,25/11/2010
1,32,1,25/11/2010
1,34,1,26/11/2010
34,1,1,26/11/2010
34,13,1,26/11/2010
13,34,1,26/11/2010
6,7,5,27/11/2010
7,6,3,27/11/2010
1,17,9,28/11/2010
1,31,2,29/11/2010
31,1,3,29/11/2010
35,6,2,29/11/2010
1,13,3,30/11/2010
36,37,1,30/11/2010
37,36,1,30/11/2010
35,1,1,30/11/2010
17,1,9,01/12/2010
8,1,3,02/12/2010
7,29,2,03/12/2010
1,20,2,04/12/2010
37,44,1,05/12/2010
44,37,1,05/12/2010
39,45,1,05/12/2010
39,7,3,05/12/2010
39,44,1,05/12/2010
44,39,1,05/12/2010
23,17,1,06/12/2010
23,19,1,06/12/2010
36,46,1,07/12/2010
46,36,1,07/12/2010
47,1,2,07/12/2010
13,7,1,07/12/2010
7,13,1,07/12/2010
29,51,1,11/12/2010
51,29,1,11/12/2010
29,52,1,11/12/2010
52,29,1,11/12/2010
45,39,2,11/12/2010
45,53,2,12/12/2010
53,45,2,12/12/2010
45,54,2,12/12/2010
54,45,2,12/12/2010
1,54,1,12/12/2010
54,1,1,12/12/2010
7,3,6,13/12/2010
36,41,2,13/12/2010
41,36,2,13/12/2010
36,21,2,14/12/2010
21,36,2,14/12/2010
7,36,3,14/12/2010
36,7,4,14/12/2010
7,53,4,15/12/2010
53,7,4,15/12/2010
7,55,1,15/12/2010
55,7,1,16/12/2010
29,7,2,18/12/2010
4,57,5,19/12/2010
39,21,2,20/12/2010
21,39,2,20/12/2010
4,61,2,20/12/2010
61,4,3,20/12/2010
61,20,8,20/12/2010
61,2,2,20/12/2010
35,65,1,21/12/2010
65,35,2,21/12/2010
56,1,2,21/12/2010
1,56,2,21/12/2010
4,66,2,22/12/2010
66,4,2,22/12/2010
21,7,5,24/12/2010
